date,county,state,fips,cases,deaths
3/1/2020,New York City,New York,,1,0
3/2/2020,New York City,New York,,1,0
3/3/2020,New York City,New York,,2,0
3/4/2020,New York City,New York,,2,0
3/4/2020,Westchester,New York,36119,9,0
3/5/2020,Nassau,New York,36059,1,0
3/5/2020,New York City,New York,,4,0
3/5/2020,Westchester,New York,36119,17,0
3/6/2020,Nassau,New York,36059,4,0
3/6/2020,New York City,New York,,5,0
3/6/2020,Rockland,New York,36087,2,0
3/6/2020,Westchester,New York,36119,33,0
3/7/2020,Nassau,New York,36059,4,0
3/7/2020,New York City,New York,,12,0
3/7/2020,Rockland,New York,36087,2,0
3/7/2020,Saratoga,New York,36091,2,0
3/7/2020,Westchester,New York,36119,69,0
3/8/2020,Nassau,New York,36059,5,0
3/8/2020,New York City,New York,,14,0
3/8/2020,Rockland,New York,36087,2,0
3/8/2020,Saratoga,New York,36091,2,0
3/8/2020,Suffolk,New York,36103,1,0
3/8/2020,Ulster,New York,36111,1,0
3/8/2020,Westchester,New York,36119,81,0
3/9/2020,Nassau,New York,36059,17,0
3/9/2020,New York City,New York,,20,0
3/9/2020,Rockland,New York,36087,4,0
3/9/2020,Saratoga,New York,36091,2,0
3/9/2020,Suffolk,New York,36103,1,0
3/9/2020,Ulster,New York,36111,1,0
3/9/2020,Westchester,New York,36119,97,0
3/10/2020,Nassau,New York,36059,19,0
3/10/2020,New York City,New York,,37,0
3/10/2020,Rockland,New York,36087,6,0
3/10/2020,Saratoga,New York,36091,2,0
3/10/2020,Suffolk,New York,36103,1,0
3/10/2020,Ulster,New York,36111,1,0
3/10/2020,Westchester,New York,36119,107,0
3/11/2020,Monroe,New York,36055,1,0
3/11/2020,Nassau,New York,36059,28,0
3/11/2020,New York City,New York,,52,0
3/11/2020,Rockland,New York,36087,6,0
3/11/2020,Saratoga,New York,36091,2,0
3/11/2020,Suffolk,New York,36103,6,0
3/11/2020,Ulster,New York,36111,2,0
3/11/2020,Westchester,New York,36119,120,0
3/12/2020,Albany,New York,36001,2,0
3/12/2020,Delaware,New York,36025,1,0
3/12/2020,Dutchess,New York,36027,1,0
3/12/2020,Herkimer,New York,36043,1,0
3/12/2020,Monroe,New York,36055,1,0
3/12/2020,Nassau,New York,36059,41,0
3/12/2020,New York City,New York,,96,0
3/12/2020,Orange,New York,36071,1,0
3/12/2020,Rockland,New York,36087,7,0
3/12/2020,Saratoga,New York,36091,3,0
3/12/2020,Suffolk,New York,36103,21,0
3/12/2020,Ulster,New York,36111,4,0
3/12/2020,Westchester,New York,36119,147,0
3/13/2020,Albany,New York,36001,2,0
3/13/2020,Delaware,New York,36025,1,0
3/13/2020,Dutchess,New York,36027,3,0
3/13/2020,Herkimer,New York,36043,1,0
3/13/2020,Monroe,New York,36055,1,0
3/13/2020,Nassau,New York,36059,51,0
3/13/2020,New York City,New York,,155,0
3/13/2020,Orange,New York,36071,3,0
3/13/2020,Rockland,New York,36087,9,0
3/13/2020,Saratoga,New York,36091,3,0
3/13/2020,Schenectady,New York,36093,1,0
3/13/2020,Suffolk,New York,36103,29,0
3/13/2020,Ulster,New York,36111,5,0
3/13/2020,Westchester,New York,36119,157,0
3/14/2020,Albany,New York,36001,5,0
3/14/2020,Broome,New York,36007,1,0
3/14/2020,Delaware,New York,36025,1,0
3/14/2020,Dutchess,New York,36027,4,0
3/14/2020,Herkimer,New York,36043,1,0
3/14/2020,Monroe,New York,36055,2,0
3/14/2020,Nassau,New York,36059,79,0
3/14/2020,New York City,New York,,269,1
3/14/2020,Orange,New York,36071,6,0
3/14/2020,Rockland,New York,36087,12,1
3/14/2020,Saratoga,New York,36091,3,0
3/14/2020,Schenectady,New York,36093,1,0
3/14/2020,Suffolk,New York,36103,41,0
3/14/2020,Tioga,New York,36107,1,0
